source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
4252496361651318144,282.71294681775055,-6.327803239377209,18.24404,18.651642,17.390026
4252499522751750272,282.8285140439498,-6.314719478564823,18.730757,18.944141,17.545555
4252499728910446720,282.82974668369854,-6.28642725764444,18.002747,18.440409,17.161545
4252502129720685568,282.7775839523047,-6.315354186943098,17.322187,17.87696,16.51883
4252502065373042304,282.74125669838554,-6.325618522509329,19.577477,19.500435,18.316118
4252499660190704000,282.84748282603556,-6.297930481796226,20.525131,,
4252502031013303808,282.7313483689504,-6.334405282356999,19.718493,19.517006,18.201252
4252498972995991168,282.7787492678464,-6.352872406041072,19.334774,19.210032,17.657606
4252499557111704320,282.79941559560655,-6.318624512950253,19.507872,,
4252499316627248896,282.8307604847986,-6.324142057465653,14.467962,16.031368,13.227392
4252502168452257024,282.7477689763222,-6.319916083028028,19.91215,19.121548,18.332123
4252499660190707456,282.84910205838594,-6.295862342674662,18.631575,18.66561,17.439257
4252499694550708736,282.82259801521786,-6.292701731229325,19.499166,19.695879,18.414562
4252501996653394816,282.7485748305681,-6.3371193654455755,20.331501,,
4252499728910395392,282.8356396021595,-6.286285414394387,18.015478,,
4252499076077929088,282.7939305833801,-6.341153464290436,16.093622,16.468443,15.232369
4252499660190707584,282.8488239960509,-6.296529742217743,19.583948,,
4252499728910395648,282.8276497018309,-6.293788618327601,19.756636,19.652784,18.178461
4252502168454805888,282.756342597609,-6.315013899794022,19.86167,19.568243,18.256737
4252501240738894976,282.85029038773894,-6.272629807503674,19.13409,19.093798,17.73397
